gene,IR1_S64_1,IR1_S64_2,IR2_S65_1,IR2_S65_2,IR3_S66_1,IR3_S66_2,IR4_S67_1,IR4_S67_2,IR5_S68_1,IR5_S68_2,IR6_S69_1,IR6_S69_2,RN1_S55_1,RN1_S55_2,RN2_S56_1,RN2_S56_2,RN3_S57_1,RN3_S57_2,RN4_S58_1,RN4_S58_2,RN5_S59_1,RN5_S59_2,RN6_S60_1,RN6_S60_2,HE4_S165_1,HE4_S165_2,HE5_S166_1,HE5_S166_2,HE6_S167_1,HE6_S167_2
gene-SHERM_10088,7,0,13,5,9,5,20,20,20,18,46,47,5,11,0,6,3,9,21,26,22,16,17,31,0,5,9,5,0,0
gene-SHERM_10094,14,8,13,13,0,5,0,0,0,0,9,11,12,17,8,12,7,11,17,12,11,12,0,17,39,43,57,38,14,23
gene-SHERM_10117,25,13,6,12,19,23,0,0,7,0,5,9,22,29,15,15,21,12,9,18,11,17,8,4,54,54,53,50,26,41
gene-SHERM_10174,33,31,34,26,28,34,10,10,0,0,16,13,28,34,26,39,27,33,5,0,0,4,6,6,337,336,331,352,104,129
gene-SHERM_10206,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,9,12,9,0,10,9,0,14,0,17,18,0,15
gene-SHERM_10214,54,73,41,46,66,55,29,37,18,28,38,46,48,45,55,59,68,62,14,17,12,14,15,17,28,25,25,22,14,7
gene-SHERM_10237,125,113,106,127,126,127,101,87,55,71,123,125,85,91,117,97,119,122,35,32,22,31,24,34,4,0,0,0,0,0
gene-SHERM_10287,0,0,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,7,7,0,4,0,0,32,21,19,17,13,21
gene-SHERM_10297,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,18,0,0,10,13,0,22,18,20,20,7,0
gene-SHERM_10325,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,5,0,0,0,0,3,0,3,13,0,5,13,12,10
gene-SHERM_10357,31,43,0,30,37,43,39,30,18,31,60,57,31,45,44,32,45,39,39,60,24,35,0,47,0,0,0,0,0,0
gene-SHERM_10365,6,0,3,0,0,0,3,0,0,0,0,0,3,0,6,0,0,4,6,4,3,6,6,5,10,14,16,24,28,43
gene-SHERM_10405,11,8,10,0,8,0,0,0,0,0,0,0,0,7,9,19,9,8,0,8,13,6,9,0,40,28,35,38,15,25
gene-SHERM_10414,18,11,14,14,17,15,13,0,6,0,0,22,0,0,12,0,8,8,6,4,10,15,10,10,40,47,50,52,50,31
gene-SHERM_10466,4,0,14,13,4,7,0,0,0,0,0,0,3,11,9,16,0,0,2,0,0,0,0,0,62,55,60,80,30,33
gene-SHERM_10472,15,14,14,16,9,11,3,5,2,0,2,3,12,23,29,32,16,14,0,3,3,3,0,0,27,21,26,20,7,18
gene-SHERM_10516,0,17,13,7,0,0,0,0,0,11,0,0,13,9,10,0,0,12,10,9,13,9,0,13,0,0,0,3,0,0
gene-SHERM_00989,4,5,20,9,12,14,0,2,0,5,3,0,16,16,18,10,18,18,3,4,0,3,6,3,57,64,74,99,30,27
gene-SHERM_10621,0,0,12,0,0,7,0,0,0,0,0,0,0,9,0,4,0,0,3,3,0,0,0,0,37,45,48,39,26,24
gene-SHERM_10649,31,38,36,37,31,30,23,19,17,19,28,33,31,0,36,33,25,27,10,0,0,22,0,16,206,231,219,247,89,97
gene-SHERM_10656,0,10,0,5,8,11,0,0,0,0,9,9,11,0,13,9,12,11,10,0,0,7,5,0,47,46,43,47,13,28
gene-SHERM_10660,0,7,5,8,12,6,0,7,5,3,11,0,0,0,5,0,9,0,5,6,3,7,0,0,51,53,34,50,30,27
gene-SHERM_10674,14,0,22,20,21,16,0,17,0,6,11,20,14,17,0,17,15,18,0,0,0,11,0,0,75,87,50,55,51,31
gene-SHERM_10675,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,2,0,0,0,0,7,0,22,19,15,20,25,28
gene-SHERM_10708,5,5,17,11,18,11,14,12,8,13,18,13,9,18,15,15,21,11,7,9,10,11,4,6,0,4,9,10,0,0
gene-SHERM_10713,2,0,1,0,0,0,2,2,2,2,3,2,3,1,2,2,1,0,0,0,2,0,2,3,7,3,13,20,20,25
gene-SHERM_10720,1,0,0,3,0,0,0,9,9,10,3,6,0,4,0,0,4,0,7,5,7,6,0,5,0,0,0,0,0,0
gene-SHERM_10732,0,7,3,0,0,0,4,6,0,4,8,2,0,0,0,0,0,0,3,0,5,0,0,9,16,15,11,14,25,28
gene-SHERM_10764,505,538,0,0,0,508,0,334,0,0,0,573,475,527,511,0,490,0,537,589,456,472,537,545,122,0,96,97,41,48
gene-SHERM_10766,33,35,33,23,25,28,13,23,8,10,21,0,11,20,22,26,0,22,9,18,19,14,12,12,203,217,216,236,85,102
gene-SHERM_10772,8,6,10,0,11,13,0,0,4,4,0,3,4,8,6,3,4,0,2,0,0,7,7,0,145,143,172,147,73,93
gene-SHERM_10795,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,5,4,3,0,0,0,17,8,10,14,7,6
gene-SHERM_10809,33,26,19,24,26,20,15,20,0,13,24,39,23,19,34,26,0,28,21,0,9,0,18,11,164,165,186,212,75,79
gene-SHERM_10831,6,6,8,9,5,11,3,3,0,0,0,0,5,10,10,9,9,10,9,9,5,4,9,4,117,113,100,85,59,60
gene-SHERM_10835,9,9,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,22,25,20,18,25
gene-SHERM_10836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,10,0,0,19,0,0,450,504,345,341,126,143
gene-SHERM_10839,262,0,0,0,0,0,0,0,0,0,0,0,223,233,0,242,0,190,0,0,0,0,0,0,2598,2472,2633,2613,996,985
gene-SHERM_10844,6,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,16,7,7,14,5,26,22,32,23,45,37
gene-SHERM_10855,5,5,5,0,3,5,1,0,0,3,2,4,2,2,2,7,4,3,2,0,0,2,0,1,43,32,30,37,22,24
gene-SHERM_10865,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,7,6,6,0,6,6,0,16,20
gene-SHERM_10873,4,1,2,5,3,1,0,0,0,0,0,2,2,3,3,2,6,5,2,3,0,2,0,2,13,16,18,18,3,8
gene-SHERM_10874,5,0,3,3,3,5,4,2,4,0,0,3,2,2,1,0,0,0,3,0,0,0,3,0,48,66,49,50,14,26
gene-SHERM_10893,10,10,9,6,5,0,22,23,19,25,39,39,0,0,0,0,0,0,4,0,5,6,7,6,0,0,18,24,51,43
gene-SHERM_10900,51,44,42,42,58,66,23,14,12,16,19,23,47,46,40,48,25,35,11,9,10,0,14,7,396,444,389,397,140,165
gene-SHERM_10902,17,19,10,7,0,18,20,20,10,14,27,40,16,8,17,15,13,13,18,23,8,10,17,13,9,11,16,10,0,0
gene-SHERM_10918,4,6,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,23,21,16,20,16,22
gene-SHERM_10927,1,2,0,2,0,0,2,1,1,1,2,2,0,0,1,0,2,1,1,0,1,1,0,1,6,15,11,11,2,3
gene-SHERM_10928,2,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,12,12,4,9
gene-SHERM_10933,7,8,0,2,0,9,5,0,0,0,0,6,0,9,0,0,7,0,0,0,0,0,0,0,19,15,17,12,13,17
gene-SHERM_10949,32,27,18,18,18,28,0,0,0,0,0,0,31,16,26,38,22,18,0,0,0,0,0,0,235,255,214,200,84,75
gene-SHERM_10968,53,44,34,32,45,34,38,42,28,14,35,46,53,55,62,73,52,25,17,23,14,14,22,17,9,12,15,26,8,6
gene-SHERM_11035,15,21,0,10,5,7,8,11,6,8,21,8,0,0,8,10,12,5,11,4,5,7,9,12,73,81,55,66,33,26
gene-SHERM_11045,33,45,31,32,28,33,27,35,21,18,15,19,23,29,14,20,19,32,34,40,30,18,33,25,24,15,20,19,6,9
gene-SHERM_11089,0,25,21,0,0,16,12,0,14,0,0,31,20,23,0,17,17,21,14,18,0,14,0,9,13,0,0,0,0,0
gene-SHERM_11092,17,0,10,18,18,16,13,16,17,18,43,37,20,18,18,22,21,19,13,15,20,13,16,25,27,18,20,17,5,8
gene-SHERM_11124,25,18,25,28,18,19,23,32,29,27,32,39,21,34,19,27,16,15,27,18,17,14,3,16,4,0,4,0,0,0
gene-SHERM_11155,7,8,5,8,4,10,12,13,7,12,14,10,7,4,7,3,8,8,4,1,1,2,1,6,4,3,6,3,7,4
gene-SHERM_11170,5,0,11,16,14,0,10,0,17,8,15,18,0,6,14,10,10,0,0,0,0,0,0,0,29,21,32,23,9,8
gene-SHERM_11266,0,4,6,0,3,0,7,0,0,0,0,5,10,0,7,8,0,11,6,0,0,3,8,6,29,27,22,0,12,21
gene-SHERM_11280,13,18,6,0,11,8,4,4,7,0,5,8,0,7,0,6,3,9,0,0,0,0,0,0,0,0,5,14,13,14
gene-SHERM_11288,0,0,5,0,0,0,0,0,2,0,0,7,6,6,4,8,0,8,0,5,0,4,0,8,30,29,28,19,12,13
gene-SHERM_11318,8,0,0,0,0,0,0,0,0,3,8,10,7,4,3,6,6,0,0,7,0,0,5,0,18,27,38,33,31,27
gene-SHERM_11380,3,0,7,6,0,0,0,3,0,0,5,0,0,3,9,9,6,0,0,0,0,0,0,0,15,17,9,14,11,14
gene-SHERM_11394,0,0,0,17,15,13,5,0,0,0,14,22,0,16,0,0,18,22,0,0,0,0,0,0,72,60,41,57,34,31
gene-SHERM_11403,57,48,49,50,79,67,49,38,44,52,81,80,70,65,79,65,70,69,75,62,48,59,64,53,48,44,57,59,22,22
gene-SHERM_11427,6,5,11,0,0,16,7,5,10,6,7,6,0,6,0,7,5,6,7,8,0,0,8,9,74,60,48,41,17,31
gene-SHERM_11453,8,0,0,0,0,0,0,0,0,0,5,3,0,4,0,2,3,0,0,0,0,0,0,0,15,0,0,16,5,9
gene-SHERM_11454,0,0,0,6,7,0,0,0,0,0,0,13,0,0,5,5,16,13,0,0,0,0,0,0,17,36,0,16,7,10
gene-SHERM_11466,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,5,3,4,4,0,0,9,0,17,10,12,19
gene-SHERM_11504,0,0,3,0,0,9,2,6,0,6,0,8,0,5,9,0,0,0,6,0,2,5,0,7,24,28,27,27,23,21
gene-SHERM_11516,31,29,33,34,28,32,27,25,28,21,57,60,32,42,53,42,44,50,41,34,40,44,48,50,8,10,23,21,28,24
gene-SHERM_11537,0,0,0,0,0,0,0,0,3,3,7,4,0,0,5,0,0,0,0,7,5,7,0,0,4,18,14,12,26,8
gene-SHERM_11563,6,0,0,4,0,0,0,3,2,2,0,3,0,3,0,0,0,0,0,0,3,5,0,3,7,5,15,17,19,28
gene-SHERM_11567,37,27,25,34,20,16,24,12,17,16,33,36,23,21,23,20,34,21,9,0,7,7,0,0,128,147,104,137,51,62
gene-SHERM_11569,14,18,25,18,27,29,19,14,10,8,32,26,26,25,19,20,8,12,14,24,10,4,11,8,12,8,17,14,7,8
gene-SHERM_11586,9,14,8,9,13,12,0,3,0,0,7,12,7,11,13,11,9,11,0,2,0,5,3,5,50,58,66,78,38,26
gene-SHERM_11597,0,3,0,2,0,8,0,0,0,2,0,11,7,5,12,5,5,0,3,3,0,0,3,0,21,28,27,26,11,13
gene-SHERM_11608,22,20,19,30,12,16,15,14,11,10,36,37,24,14,26,28,24,19,26,25,16,15,23,29,6,18,8,12,5,0
gene-SHERM_11616,0,10,14,0,14,0,5,0,7,0,11,16,9,10,9,0,0,11,0,0,0,9,0,5,56,85,43,55,28,20
gene-SHERM_11617,13,16,24,0,25,28,20,17,0,11,23,0,22,11,11,16,20,19,0,0,0,7,0,0,39,33,39,28,0,21
gene-SHERM_11618,11,6,8,7,15,8,5,5,4,4,8,16,7,7,0,9,0,7,15,13,15,17,14,16,196,191,169,188,84,80
gene-SHERM_11620,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,27,16,32,25,18,24
gene-SHERM_11621,0,0,0,0,10,0,0,0,0,0,9,8,0,0,0,0,0,0,0,7,0,0,0,0,47,39,34,32,17,23
gene-SHERM_11625,9,7,0,0,7,7,3,3,0,7,11,9,9,9,7,6,10,16,4,0,0,0,0,0,27,25,36,27,0,5
gene-SHERM_11657,0,109,0,0,0,103,52,0,35,0,0,0,0,0,0,0,0,0,0,50,0,35,34,0,398,394,400,382,151,178
gene-SHERM_11664,369,428,283,309,329,323,26,25,20,24,34,27,290,323,339,346,294,302,38,53,42,33,41,32,2494,2673,2237,2318,807,837
gene-SHERM_11666,0,0,6,6,0,0,0,0,0,0,0,0,0,6,8,0,3,5,0,0,0,0,6,0,37,45,37,39,24,17
gene-SHERM_11671,0,0,0,0,6,6,0,0,0,0,0,0,0,7,5,7,0,0,0,0,0,0,0,0,19,18,16,19,13,11
gene-SHERM_11672,17,0,0,7,4,0,7,0,16,7,19,12,8,7,12,12,4,7,0,4,6,0,14,13,82,76,61,56,32,36
gene-SHERM_11725,8,4,7,6,3,15,0,7,5,0,10,0,5,0,0,0,0,10,7,16,4,3,7,6,21,34,38,30,26,20
gene-SHERM_11783,0,5,0,0,8,0,0,7,7,6,10,9,0,0,0,8,0,2,3,0,0,0,0,0,38,45,37,32,12,13
gene-SHERM_11785,0,9,0,0,0,9,4,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,17,13,18
gene-SHERM_11786,17,12,13,13,5,6,8,12,14,11,19,10,7,9,11,27,12,28,10,10,9,10,13,11,6,11,7,8,2,1
gene-SHERM_11796,18,15,9,24,37,16,7,19,14,22,38,45,18,41,24,23,10,20,29,20,26,20,43,31,24,27,20,19,9,21
gene-SHERM_11839,6,0,0,0,0,0,6,0,0,0,0,11,0,0,0,9,0,12,7,0,6,4,6,0,31,37,49,66,82,51
gene-SHERM_11842,12,0,9,0,6,8,0,0,0,7,0,0,0,10,7,0,0,11,9,7,13,7,14,0,26,25,29,35,40,46
gene-SHERM_11857,0,0,0,11,0,28,0,0,0,0,12,12,0,0,10,0,0,20,0,0,0,0,0,0,33,43,65,54,15,25
gene-SHERM_11877,0,0,0,0,0,12,0,0,0,0,0,0,9,0,11,0,7,8,0,0,0,0,0,0,19,17,22,20,18,23
gene-SHERM_11914,10,8,3,8,0,0,4,7,0,2,3,5,5,0,0,0,0,0,0,7,6,0,0,0,57,57,41,27,12,12
gene-SHERM_01022,8,7,0,6,8,7,0,0,0,0,0,0,4,0,0,0,6,0,0,2,0,0,4,0,10,14,0,4,13,11
gene-SHERM_12105,38,33,42,37,55,50,169,163,126,137,241,222,50,66,62,78,68,51,211,228,157,173,214,193,20,13,19,0,5,0
gene-SHERM_12119,256,268,292,303,289,299,71,78,48,51,103,106,290,279,293,339,282,281,53,55,44,39,35,46,1019,1025,1068,1118,377,395
gene-SHERM_12122,10,0,9,0,11,0,0,0,0,0,0,0,14,0,10,10,0,7,0,10,12,0,9,0,22,17,26,25,8,21
gene-SHERM_12125,0,67,71,0,46,0,0,0,0,0,0,0,0,64,70,0,0,61,0,0,0,0,0,0,210,245,191,217,83,88
gene-SHERM_12168,0,0,0,0,0,0,0,0,0,10,12,0,0,7,11,0,0,0,0,9,13,17,0,0,30,0,0,0,31,23
gene-SHERM_12170,7,0,4,0,0,0,0,8,2,0,12,6,6,4,7,0,0,5,0,0,0,0,0,0,21,23,14,17,6,12
gene-SHERM_12182,34,27,23,23,18,30,0,5,0,6,9,17,25,49,33,31,45,37,9,13,0,7,9,0,153,130,114,95,47,71
gene-SHERM_12211,0,3,6,5,3,5,0,2,1,3,0,2,2,4,2,3,3,6,5,0,2,2,0,2,68,62,91,88,28,23
gene-SHERM_12237,12,0,0,0,8,5,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,7,0,21,13,15,14,8,10
gene-SHERM_12274,3,0,5,3,4,1,7,7,7,4,12,4,6,5,1,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0
gene-SHERM_12364,0,0,12,0,10,16,10,0,0,0,11,10,7,12,0,0,0,13,0,0,0,6,0,0,68,86,77,64,29,40
gene-SHERM_12379,11,13,12,13,9,16,8,9,6,13,11,15,8,10,6,11,0,0,20,13,11,8,14,12,65,56,77,42,19,35
gene-SHERM_12383,2,0,2,0,0,5,0,0,0,0,9,0,0,0,0,2,0,0,3,0,1,5,0,0,9,7,15,12,9,10
gene-SHERM_12398,0,0,2,0,0,5,0,0,0,0,0,3,3,3,10,4,0,6,0,0,0,0,0,0,38,38,45,48,16,18
gene-SHERM_00004,67,61,46,46,44,45,13,22,28,20,33,31,39,26,37,48,38,28,36,34,30,36,40,38,278,353,412,462,224,237
gene-SHERM_00005,14,23,18,25,23,20,25,19,9,0,27,20,15,23,24,17,19,32,0,21,0,5,0,4,173,151,210,206,96,89
gene-SHERM_00006,6,7,6,11,4,5,7,7,4,7,17,16,2,7,6,8,6,2,4,2,2,2,2,7,2,2,0,3,2,2
gene-SHERM_00112,0,0,0,3,0,8,6,11,0,10,12,14,4,0,8,0,5,9,6,9,3,6,9,3,44,30,42,36,30,30
gene-SHERM_00122,0,9,3,4,5,3,3,0,0,0,8,3,0,5,4,9,5,7,0,0,0,0,2,0,21,13,21,20,8,6
gene-SHERM_00146,13,0,13,15,15,0,0,0,0,0,12,10,16,0,24,0,18,0,9,0,0,0,0,9,48,67,59,43,28,33
gene-SHERM_12436,16,10,7,2,6,5,7,6,6,4,8,8,11,6,9,11,7,12,5,5,6,6,5,2,0,0,0,1,0,2
gene-SHERM_12440,9,0,0,10,6,10,0,0,0,3,4,3,0,0,0,0,0,11,2,0,0,0,0,0,10,23,19,29,27,18
gene-SHERM_12471,6,10,0,0,11,10,0,7,0,0,15,0,0,14,0,0,13,22,0,0,0,0,8,9,0,0,0,0,0,0
gene-SHERM_12474,3,8,4,5,0,0,0,0,0,0,2,0,0,3,4,7,0,0,0,0,0,7,0,9,8,7,9,14,35,45
gene-SHERM_12517,5,0,7,0,3,0,8,13,13,9,22,17,10,6,5,0,3,0,10,0,7,6,0,0,21,14,23,15,40,29
gene-SHERM_12530,5,10,8,8,10,21,4,12,3,8,16,10,6,9,7,12,10,13,8,13,6,26,4,9,9,9,16,5,4,3
gene-SHERM_12531,0,0,0,2,0,0,0,0,0,0,5,0,0,0,5,3,0,5,0,0,0,0,0,0,6,0,13,10,13,13
gene-SHERM_12559,0,0,77,0,0,82,62,0,41,0,93,0,75,0,0,82,0,0,0,0,0,0,0,0,0,347,0,288,94,106
gene-SHERM_12560,0,14,10,7,0,0,0,0,0,0,0,0,0,13,0,0,17,13,4,2,0,0,0,0,29,34,21,18,13,24
gene-SHERM_12571,0,6,9,6,9,10,0,4,4,4,3,0,0,11,8,8,6,5,0,4,0,0,0,0,49,35,29,20,13,11
gene-SHERM_12580,9,7,12,6,0,11,3,4,0,0,0,13,10,0,5,9,0,7,0,0,0,0,0,0,12,18,26,17,0,9
gene-SHERM_12638,21,32,11,25,29,31,9,7,0,8,7,11,34,31,41,51,29,22,8,3,7,0,5,6,164,167,201,205,101,80
gene-SHERM_12697,12,14,19,23,28,18,6,2,0,0,6,6,21,31,23,23,18,26,10,6,6,8,10,4,0,3,0,3,0,0
gene-SHERM_12746,17,7,0,0,16,24,0,0,0,0,0,0,6,11,20,15,0,19,0,0,0,0,3,4,70,59,79,71,38,36
gene-SHERM_12770,0,0,12,0,8,5,9,0,9,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,25,0,0
gene-SHERM_12771,44,44,41,48,63,71,19,26,26,14,32,43,75,51,55,57,64,54,29,24,30,29,25,32,0,10,16,15,20,18
gene-SHERM_12810,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,3,3,6,2,18,11,11,13,13,14
gene-SHERM_12813,196,200,161,213,207,236,82,97,89,78,227,235,251,291,315,303,245,268,127,140,142,126,142,132,55,62,74,44,21,20
gene-SHERM_12815,4,5,1,3,4,0,3,8,2,2,5,3,3,3,8,3,4,4,4,3,4,4,6,5,29,37,49,41,32,18
gene-SHERM_12821,276,283,222,215,191,186,151,192,172,159,183,187,157,189,200,197,199,239,171,180,142,152,185,175,160,160,163,152,44,66
gene-SHERM_12839,2,0,0,0,0,0,9,4,0,0,7,7,0,0,0,6,0,2,4,6,4,0,0,4,17,19,14,18,0,17
gene-SHERM_12908,0,0,2,0,3,0,0,2,0,2,0,0,0,0,0,0,4,0,3,0,0,0,2,0,16,21,26,25,0,15
gene-SHERM_12919,242,242,185,219,222,208,83,75,58,49,109,124,221,227,219,248,194,212,117,120,95,76,0,99,57,60,58,50,22,23
